ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,load balancing ssl passthrough setup live coding jesse,2017-06-02,4172,32,0
freecodecamp org,check property object beau teaches javascript,2017-04-13,19007,396,18
alex analyst,create visualizations tableau tableau tutorials beginners,2021-10-05,175909,3981,181
freecodecamp org,end end machine learning project ai mlops,2024-09-25,57536,1984,111
freecodecamp org,uml diagrams full course unified modeling language,2021-04-21,1402716,27503,346
freecodecamp org,functional programming java full course,2020-02-24,198026,4154,80
freecodecamp org,great gatsby bootcamp full gatsby js tutorial course,2019-05-15,88725,1971,159
freecodecamp org,protected routes react using react router,2018-10-16,345475,5910,213
freecodecamp org,top contributors party new york city freecodecamp org,2018-08-19,4071,123,6
freecodecamp org,build iot application node js docker,2018-06-19,35325,470,6
freecodecamp org,build linux system live tutorial,2018-05-18,16672,345,6
freecodecamp org,like freelance nigeria day life,2018-03-15,7040,272,38
freecodecamp org,data types beau teaches javascript,2017-02-27,65041,848,48
alex analyst,indexes pandas python pandas tutorials,2023-03-21,54915,1285,39
blue brown,wiggling charges give rise light optics puzzles,2023-09-01,770754,32174,1588
blue brown,euler formula poem,2015-03-05,166383,5127,148
freecodecamp org,secrets freecodecamp,2024-06-24,30325,2163,29
freecodecamp org,code kirby game browser typescript gamedev tutorial,2024-04-25,49274,1574,53
freecodecamp org,sql server performance essentials full course,2022-05-17,208496,5402,142
freecodecamp org,prime numbers times tables python basics sam,2020-07-21,41694,805,43
freecodecamp org,matplotlib crash course,2020-05-07,320480,8403,166
freecodecamp org,build brain computer app react native part live coding jesse,2020-04-26,36808,710,13
freecodecamp org,working nextjs graphql materialui p live coding jesse,2018-01-10,3774,48,2
freecodecamp org,customizing materialui app bar p live coding jesse,2017-11-13,10677,81,4
freecodecamp org,maths programmers sets set operators,2016-11-12,14304,160,9
freecodecamp org,networks example network,2016-09-23,19570,185,1
alex analyst,challenges creating analyst builder challenges startup part,2024-05-07,2331,60,11
alex analyst,dataanalystsalary dataanalysis,2023-08-17,36336,2739,44
alex analyst,formulas excel excel tutorials beginners,2021-12-21,367174,8042,412
freecodecamp org,senior developers learning low code ai tools adrian twarog interview,2024-06-21,28008,517,35
freecodecamp org,reviewing website designs live gary simon,2020-09-30,29172,954,20
freecodecamp org,unity fps survival game tutorial first person shooter game dev,2019-01-21,681911,14714,896
freecodecamp org,symbols beau teaches javascript,2017-03-03,34723,743,45
alex analyst,regular expression metacharacters python,2023-08-01,8343,213,8
alex analyst,k livestream,2023-06-28,6263,384,24
blue brown,ellipses multiple definitions,2024-01-19,49440,2743,20
freecodecamp org,convert strings numbers javascript,2024-07-03,14088,673,9
freecodecamp org,javascript interview prep functions closures currying,2023-04-20,150655,4874,116
