ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,react search filters p live coding jesse,2018-03-12,2692,40,0
freecodecamp org,creating material design style homepage part p live coding jesse,2018-01-04,2119,43,0
alex analyst,use drill power bi microsoft power bi beginners,2022-08-09,195762,3383,75
freecodecamp org,rag fundamentals advanced techniques full course,2024-08-01,45742,1340,48
freecodecamp org,css projects loading animations progress bars flashcards,2024-07-16,88726,3295,79
freecodecamp org,angular supabase course build realtime chat application,2024-05-20,33097,810,30
freecodecamp org,tezos blockchain developer course python web development,2024-05-09,26066,836,30
freecodecamp org,game development gdevelop crash course,2022-01-27,216586,5658,122
freecodecamp org,web applications everybody course dr chuck teaches html php sql css javascript,2021-11-04,705739,18381,381
freecodecamp org,algorithms data structures tutorial full course beginners,2021-03-18,4673378,127527,1856
freecodecamp org,build career tech april speight connects dots,2020-12-11,16559,451,15
freecodecamp org,computer programmers actually,2018-11-27,51513,1141,58
freecodecamp org,sliding panels css tutorial day css days,2018-10-05,25729,428,13
freecodecamp org,mongodb full tutorial w node js express mongoose,2018-09-13,158936,1941,64
freecodecamp org,networks collision detection avoidance,2016-09-23,18208,265,9
alex analyst,best places find datasets projects,2023-06-13,134689,3672,77
alex analyst,favorite tableau power bi courses udemy,2021-06-01,32452,862,86
alex analyst,best machine learning courses coursera,2021-03-23,59523,1782,83
alex analyst,data analyst q live,2020-05-31,10999,263,54
freecodecamp org,learn typescript full course beginners,2024-07-09,81014,2640,98
freecodecamp org,career change code complete guide full course aspiring developers,2024-02-07,114996,2815,149
freecodecamp org,python speech recognition tutorial full course beginners,2022-06-08,249776,6765,183
freecodecamp org,revit tutorial beginners building information modeling design course,2022-02-08,233157,5550,97
freecodecamp org,code game engine using java full course beginners,2022-01-03,554261,17254,645
freecodecamp org,internet history technology security full course dr chuck,2021-12-20,333520,11095,296
freecodecamp org,learn asp net core mvc net full course,2021-11-22,1491759,20936,744
freecodecamp org,aws certified cloud practitioner certification course clf c pass exam,2021-11-17,3467796,56653,2182
freecodecamp org,react router crash course,2021-06-30,116054,3161,147
freecodecamp org,azure ai fundamentals certification ai full course pass exam,2021-06-17,359068,6459,318
freecodecamp org,reactathon conference live stream day three,2020-12-09,22681,524,4
freecodecamp org,code react projects complete course,2020-10-27,1506588,33538,889
freecodecamp org,ceo code watch netlify ceo code sudoku app scratch bar saturday night,2019-09-06,60223,1062,71
freecodecamp org,react hooks tutorial crash course styled components jsx react router hoc,2019-07-17,49881,1094,37
freecodecamp org,gulp task automation beginners,2018-07-24,117447,1941,102
freecodecamp org,javascript es es es learn code bleeding edge full course,2018-05-14,299309,5894,219
freecodecamp org,react unit testing enzyme jest p live coding jesse,2018-03-29,31959,218,16
freecodecamp org,reusable javascript revolution talk cory house,2018-03-18,5039,196,7
freecodecamp org,alexa development full amazon echo tutorial course one video,2017-09-19,112859,1421,99
freecodecamp org,spelling chemistry daily programmer,2017-07-25,3286,80,9
alex analyst,practice sql python right phone,2023-12-13,8757,601,20
freecodecamp org,ben awad gamedev sleeps hours every night productive quincy interviews,2024-04-26,28281,524,70
freecodecamp org,understanding ai scratch neural networks course,2024-04-02,329596,5255,116
freecodecamp org,working openai logan kilpatrick freecodecamp podcast,2024-02-23,23647,483,26
freecodecamp org,learn python immersion,2018-06-27,16375,312,2
freecodecamp org,setting proxy google cloud sql p live coding jesse,2018-05-24,5892,44,2
freecodecamp org,editing salesforce visualforce pages live coding jesse,2017-10-25,5216,69,0
freecodecamp org,maths programmers sets idempotent identity laws,2016-12-01,9088,110,1
alex analyst,working big company vs small company told fortune data analyst,2020-01-25,15409,413,22
freecodecamp org,microsoft security compliance identity sc full course pass exam,2021-06-29,403730,4798,254
freecodecamp org,put website online template coding domain hosting dns,2020-11-11,2374030,46983,765
freecodecamp org,live coding project create drum machine using vue js gwen faraday,2020-07-03,35781,892,23
freecodecamp org,full ethical hacking course network penetration testing beginners,2019-07-29,6971639,218814,5481
freecodecamp org,intro java programming course absolute beginners,2019-05-21,3363278,45448,950
freecodecamp org,using wpgraphql react p live coding jesse,2017-10-11,1755,27,2
freecodecamp org,software engineer dev mastery founder bill sourour quincy interviews devs,2017-02-12,8754,249,14
freecodecamp org,chrome dev tools memory tab,2015-08-24,18546,148,4
blue brown,linear transformations matrices chapter essence linear algebra,2016-08-07,5168173,110221,4201
freecodecamp org,aws certified cloud practitioner certification course clf c pass exam,2023-12-05,980555,17781,939
freecodecamp org,python beginners full course programming tutorial,2022-08-09,2665164,56184,1171
freecodecamp org,linear algebra full college course,2020-11-19,2078304,50790,1047
freecodecamp org,command line recursion python python basics sam,2020-08-11,28436,692,20
freecodecamp org,express js node js course beginners full tutorial,2019-02-12,282444,4013,182
freecodecamp org,blurry effect css tutorial day css days,2018-10-09,15312,249,10
freecodecamp org,wordpress plugin editing part p live coding jesse,2018-07-06,1650,31,2
freecodecamp org,react routing express p live coding jesse,2018-05-02,2241,41,0
freecodecamp org,react project day live coding jesse,2017-07-24,5942,66,16
blue brown,positioned hardest question putnam exam,2024-01-12,236351,12615,129
blue brown,pi almost,2018-03-14,1727104,44593,1912
alex analyst,case statements mysql intermediate mysql,2024-02-13,54882,1071,59
freecodecamp org,api integration course modern python fastapi,2024-07-03,179637,2376,96
freecodecamp org,type checking python,2024-07-02,14504,618,18
freecodecamp org,graphql course beginners,2023-09-01,211110,5024,143
freecodecamp org,django project code crm app tutorial,2023-03-22,436708,8495,216
freecodecamp org,java programming beginners full course,2022-09-27,1308500,23911,523
freecodecamp org,build shopping cart javascript project tutorial,2022-05-31,376283,8632,381
freecodecamp org,build brain computer app react native part live coding jesse,2020-04-26,36772,710,13
freecodecamp org,sql server mysql via wordpressapi nodejs p live coding jesse,2017-12-12,3466,68,2
freecodecamp org,react production server setup part live coding jesse,2017-05-16,3811,41,11
blue brown,feel like invent math,2015-08-14,4191297,93470,5954
alex analyst,study hacks beginner data analysts live webinar,2023-01-16,46258,1357,36
alex analyst,advanced sql tutorial subqueries,2021-04-20,381092,8401,218
freecodecamp org,system design concepts course interview prep,2024-07-25,282004,10666,220
freecodecamp org,full stack next js supabase twitter clone full course,2023-07-20,111468,3243,170
freecodecamp org,learn django building online marketplace python tutorial beginners,2023-02-01,438430,8256,376
freecodecamp org,javascript tutorial create card game,2022-12-14,137400,4072,100
freecodecamp org,asp net core crash course c app one hour,2020-11-16,1590407,30653,1016
freecodecamp org,react graphql course build social media app merng stack,2020-10-14,488208,13535,834
freecodecamp org,reviewing website designs live gary simon,2020-09-30,29166,954,20
freecodecamp org,c programming language intro computer science harvard cs,2019-01-23,1074451,24882,488
freecodecamp org,pacman ghost animation css tutorial day css days,2018-09-27,21713,440,22
freecodecamp org,using python build ai play win snes streetfighter ii machine learning,2018-05-24,69079,916,46
freecodecamp org,addeventlistener beau teaches javascript,2017-04-24,147736,2133,78
freecodecamp org,json beau teaches javascript,2017-02-28,19145,300,13
blue brown,neural network chapter deep learning,2017-10-05,17297450,424291,7545
alex analyst,data analyst vs business analyst responsibilities salaries skills education,2023-09-12,44840,1596,101
